(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 101, train-time: 6.627206563949585, com-time: 9.224146604537964, loss 2.310903310775757, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 102, train-time: 6.643408298492432, com-time: 9.227745532989502, loss 2.3585164546966553, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 103, train-time: 6.625654220581055, com-time: 9.211094379425049, loss 2.318429470062256, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 104, train-time: 6.64682412147522, com-time: 9.261354923248291, loss 2.260711908340454, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 105, train-time: 6.624012470245361, com-time: 9.257091760635376, loss 2.3064584732055664, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 106, train-time: 6.650277137756348, com-time: 9.285841226577759, loss 2.2995967864990234, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 107, train-time: 6.626505374908447, com-time: 9.226972341537476, loss 2.3432040214538574, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 108, train-time: 6.644936800003052, com-time: 9.194307565689087, loss 2.406404495239258, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 109, train-time: 6.626936197280884, com-time: 9.307952880859375, loss 2.4050707817077637, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 110, train-time: 6.641607046127319, com-time: 9.238004922866821, loss 2.3536217212677, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 111, train-time: 6.629273176193237, com-time: 9.226519107818604, loss 2.3239243030548096, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 112, train-time: 6.6472556591033936, com-time: 9.257618188858032, loss 2.331672191619873, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 113, train-time: 6.622942209243774, com-time: 9.217138290405273, loss 2.305072546005249, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 114, train-time: 6.638749361038208, com-time: 9.216262340545654, loss 2.363734006881714, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 115, train-time: 6.631620168685913, com-time: 9.245005369186401, loss 2.3318495750427246, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 116, train-time: 6.645164489746094, com-time: 9.341670751571655, loss 2.374911069869995, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 117, train-time: 6.62828516960144, com-time: 9.254322290420532, loss 2.3137810230255127, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 118, train-time: 6.646955966949463, com-time: 9.23708462715149, loss 2.372828483581543, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 119, train-time: 6.624852895736694, com-time: 9.268525123596191, loss 2.3975000381469727, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 120, train-time: 6.644547462463379, com-time: 9.236106634140015, loss 2.3825621604919434, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 121, train-time: 6.635415315628052, com-time: 9.27863883972168, loss 2.3647568225860596, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 122, train-time: 6.644308805465698, com-time: 9.241201877593994, loss 2.3618438243865967, prec: 9.803921699523926, 
